id,response,label1,label2
17,It is not a common side effect. If you wouldn't’ mind coming in today to clinic for a visit that would be great for further evaluation.,Neutral,Agree
20,Please go to the ER for further evaluation and treatment. I will also contact your medical oncologist as well. We will have to further evaluate with imaging to see what is going on.,Neutral,Agree
26,Please go to the ER so that they can do additional imaging and look into this further. They can also give you IV medications to help your nausea.,Neutral,Agree
28,Please go to the ER so that you can get IV fluids and they can look into this further.,Neutral,Agree
32,We can add an another medication like malox over the counter to help with your heart burn.,Neutral,Disagree
36,I would recommend going to the ER so they can do an US of your arm as soon as possible. I want to make sure you haven’t developed a blood clot in your arm.,Neutral,Agree
38,I recommend that you go to the ER for further evaluation and treatment. They can also do imaging soon so we can know what is going on.,Neutral,Agree
41,I would try an over the counter enema or dulcolax suppository to see if that helps with your constipation.,Challenging,Neither agree or disagree
43,Please contact the oncology clinic for further guidance.,Neutral,Agree
47,Please come in to get evaluated. We will get some blood tests and also will be ordering a COVID test for you.,Neutral,Agree
51,Please come into the oncology clinic so we can evaluate further. We will also be getting additional imaging of your lungs.,Challenging,Agree
59,This can happen after surgery. I recommend follow up with your urologist so that they can do further bladder studies and evaluate further.,Challenging,Agree
61,What have you been taking? We can first try malox over the counter and see if that helps.,Neutral,Disagree
62,Yes it could be. I recommend that you come in for further evaluation. We will also get further blood tests as well for further evaluation.,Challenging,Neither agree or disagree
67,I’d like you to come in for further evaluation with urology.,Challenging,Agree
68,I recommend that you go to the ER for further evaluation. We want to make sure you don’t have any clots in your lungs. You will be undergoing additional imaging in the ER.,Neutral,Agree
71,Not necessarily. I recommend you come back into the clinic so we can evaluate this further.,Challenging,Agree
72,Please go to the ER for further evaluation and imaging.,Neutral,Agree
75,It’s hard to say at this time. We will have to further evaluate with imaging and lab tests.,Neutral,Agree
79,I recommend coming into clinic for further evaluation. We will do a swallowing imaging test to see if there are any issues with swallowing we see on imaging.,Challenging,Neither agree or disagree
83,Please come into clinic tomorrow and we will look into this further. I also recommend you take a COVID test as well.,Challenging,Neither agree or disagree
84,Please see your urologist for further evaluation in the clinic.,Neutral,Neither agree or disagree
92,": 
Please continue on immunotherapy at this time. I also recommend you see your medical oncologist in clinic for further evaluation. I will inform them of this at this time.",Neutral,Neither agree or disagree
2,"The diarrhea could be related to the anti-cancer medications, among other causes. You need to come to the outpatient clinic or ER for vital signs and labs check, and intravenous fluid and electrolytes replenishment as needed. We will run other tests like stool analysis and culture to identify the cause of diarrhea and manage it accordingly. We might need to modify the systemic therapies doses.",Trivial,Agree
5,"The nausea and vomiting could be attributed to the cancer itself, the anti-cancer medications, among other causes. You need to come to the outpatient clinic or ER for vital signs and labs check, and intravenous anti-nausea medications, and fluid and electrolytes replenishment as needed. I could order some imaging. We might need to modify the systemic therapies doses.",Trivial,Agree
6,"The back pain can be a medication side effect especially lenalidomide, a cancer manifestation, or something else. I’d recommend you come to the clinic so I can examine your back and assess pain severity to prescribe adequate pain medications. I can’t see recent spine imaging in your records, so I’ll order an MRI Spine and Sacrum.",Neutral,Disagree
8,"Your symptoms can be a medication side effect, a cancer manifestation, or something else. I’d recommend you come to the clinic so I can do a full physical examination including vital signs and detailed neurologic examination to prescribe adequate medications. I can’t see recent brain imaging in your records, so I’ll order a brain MRI.",Neutral,Disagree
10,"Your symptoms can be a reaction to chemoradiation, a cancer manifestation, or combination of both. We’ll examine your throat tomorrow in the clinic and ensure your medications include proper painkillers and medications that coat and protect your throat from chemoradiation injury. We are monitoring the disease via daily/weekly pre-radiation imaging of your chest.",Trivial,Disagree
12,"Your symptoms can be a reaction to chemotherapy, a cancer manifestation, or combination of both. We’ll examine you tomorrow in the clinic and ensure your medications include proper painkillers and medications that coat and protect your throat and stomach from chemotherapy-induced injury. We may order imaging, if needed.",Trivial,Disagree
18,"Your symptoms can be a reaction to cancer therapy, a cancer manifestation, or combination of both. We’ll examine you tomorrow in the clinic and ensure your medications include proper painkillers and medications that get rid of excess bodily fluids, if any. We may order imaging, if needed.",Trivial,Neither agree or disagree
25,"Your symptoms can be a manifestation of the cancer itself, the anti-cancer medications, uncontrolled diabetes, among other causes. You need to come to the outpatient clinic or ER today for vital signs and labs check, intravenous anti-nausea medications, and fluid and electrolytes replenishment as needed. I might order some imaging. We might need to modify the cancer medications doses.",Trivial,Agree
27,"Your symptoms can be a manifestation of the cancer itself, a reaction to the anti-cancer medications, among other causes. You need to come to the outpatient clinic or ER today for vital signs, physical exam, and labs check. I might order some imaging.",Neutral,Agree
29,"Your symptoms represent a common manifestation of your anti-cancer medications. Possible management options include gabapentin, antidepressants, and a wide variety of complementary therapies.",Trivial,Disagree
34,It is unlikely that your symptoms can be attributed to the tamoxifen. You need to go to the ER to rule out more serious conditions like an angina. You will get your vital signs and labs checked in addition to an EKG. I could order more imaging.,Neutral,Agree
46,"The pain can be a cancer manifestation, or something else. I’d recommend you come to the clinic so I can examine your arm and assess pain severity to prescribe adequate pain medications. I can’t see recent spine imaging in your records, so I’ll order a bone scan and MRI Spine.",Trivial,Agree
49,"Your symptoms can be a manifestation of the cancer itself, the anti-cancer medications, among other causes. Supplements, a healthy diet with high caloric intake, well-tolerated exercise, and good sleep are good strategies. You need to come to the outpatient clinic if these symptoms worsened for vital signs and labs check. I might order some imaging and/or medications. We might need to modify the cancer medications doses.",Neutral,Disagree
55,"If you’re experiencing a severe lower back pain not responding to pain medications, you should go to the emergency room. Otherwise, I think the worsening urinary incontinence -whilst inconvenient- is a frequent consequence of prostate surgery and radiation and not necessarily a sign of regrowing disease. You can benefit from a follow-up visit with your urologist. Regarding the new lower back pain, I’ll prescribe you a pain medication, I’ll do a full physical exam in the outpatient clinic, and may order some imaging of your back.",Neutral,Disagree
56,"If you’re experiencing a severe abdominal pain not responding to pain medications, you should go to the emergency room. Otherwise, I think your symptoms -whilst inconvenient- are a relatively common consequence of colon surgery. It can be a delayed chemotherapy side effect. I’ll prescribe you pain medication and Simethicone. I’ll schedule you for a follow-up visit for a full physical exam in the outpatient clinic. I may order some imaging to rule out regrowing disease.",Neutral,Neither agree or disagree
63,"It is unlikely that your symptoms are a manifestation of a regrowing cancer. However, we will schedule an outpatient clinic appointment for you to undergo a physical exam and get new imaging.",Trivial,Disagree
76,"You need to go to the ER to rule out more serious conditions like severe chest infection or pulmonary embolism. You will get your vital signs, oxygen concentrations in blood, and labs checked in addition to chest imaging. The doctors will prescribe you proper medications that you will continue to receive as an inpatient or an outpatient.",Neutral,Agree
77,"Your symptoms can be a manifestation of the cancer itself, or bone weakness as a consequence of your anti-cancer medications, among other causes. I’ll prescribe you some pain medications. You need to come to the outpatient for your scheduled work-up including imaging and labs.",Neutral,Disagree
78,"Your symptoms are a manifestation of the prior cancer treatments you received. I’d highly recommend regular use of the vaginal dilator. We can connect you with your gynecologist if you feel adjustments or training are needed. The use of vaginal moisturizers, vaginal estrogen therapy, and application of lubricants during sex are good strategies. You need to come to the outpatient clinic if these symptoms worsened for vital signs and labs check. I might order some imaging and/or medications.",Trivial,Disagree
82,"If you’re experiencing a severe abdominal pain not responding to pain medications, you should go to the emergency room. Otherwise, I think your symptoms -whilst inconvenient- can be attributed to the colon surgery. It can be a delayed chemotherapy side effect. I’ll prescribe you pain medication and Simethicone. I’ll schedule you for a follow-up visit for a full physical exam in the outpatient clinic. I may order some imaging to rule out other causes including regrowing disease.",Neutral,Disagree
89,It is unlikely that your symptoms are a manifestation of a regrowing cancer. Your symptoms -whilst inconvenient- can be attributed to your prior cancer therapies. I’ll prescribe you stronger pain medications and mouth care regimens. I’ll schedule you for a follow-up visit with radiation oncology and speech therapy for a full physical exam in the outpatient clinic. I may order some imaging to rule out other causes including regrowing disease if needed.,Neutral,Disagree
90,"Your symptoms can be a manifestation of a regrowing cancer, delayed side effects of your prior cancer therapies, among other causes. I’ll prescribe some pain and anti-nausea medications. You need to come to the outpatient clinic for a physical exam and labs check. I will order some imaging to rule out regrowing cancer.",Neutral,Neither agree or disagree
93,"Your symptoms can be a manifestation of a regrowing cancer, delayed side effects of your prior cancer therapies, among other causes. You need to come to the outpatient clinic for a physical exam and labs check. I will order some imaging to rule out regrowing cancer.",Neutral,Agree
94,Your symptoms are a manifestation of the prior cancer treatments you received. I’d highly recommend doing regular arm exercises per your physical therapist’s recommendations. You need to come to the outpatient clinic if these symptoms worsened for vital signs and physical exam. I might order some imaging and/or medications.,Trivial,Disagree
95,"It is unlikely that your symptoms are a manifestation of a regrowing cancer. Your symptoms -whilst inconvenient- can be attributed to your prior cancer therapies or diabetes mellitus, among other causes. I’ll prescribe you medications to relieve your symptoms. I’ll schedule you for a routine follow-up visit for a full physical exam in the outpatient clinic. I may order some imaging to rule out other causes including regrowing disease, if symptoms worsened.",Trivial,Disagree
97,"Your symptoms can be a manifestation of regrowing cancer, the anti-cancer medications, chest infection, among other causes. I’ll prescribe some medications to relieve your symptoms. I’ll schedule you for a follow-up visit at the outpatient clinic for physical exam and chest imaging to identify what is causing your symptoms.",Neutral,Agree
1,"Since you are currently undergoing chemotherapy, it is normal for you to experience hair loss. This is a very common side-effect, which will resolve after the chemotherapy has been stopped. There are some ways to try and minimize hair loss, including cooling of the scalp. This is something which you might want to discuss with your medical oncologist who is treating you, prescribing the chemotherapy.",Trivial,Disagree
2,"Diarrhea is a common side-effect of the chemotherapy agents that you are currently receiving. If the over-the-counter medications do not help, there is a risk of dehydration and weight loss, both of which can cause severe symptoms if left untreated. My advice for now is to drink plenty of fluids. I will have a nurse from the department call you today as well to check on the type and frequency of medication that you have been using and provide you with further advice. If things become worse you should contact an Urgent Care Clinic close to your home for an assessment.",Trivial,Agree
3,Bloating and discomfort can be caused by the chemotherapy you are currently undergoing. It may be a consequence of constipation as a result of the chemotherapy. Has the frequency and consistency of your stools changed over the past 2 weeks? Do you also experience nausea or vomiting? And how is your appetite? I will ask the nurse to give you a call later today to clarify these questions in order to give you the correct recommendations.,Neutral,Disagree
5,"These symptoms might be due to the chemotherapy that you have been prescribed and need proper treatment to prevent dehydration. I will ask the nurse to call you today to get a better understanding of your situation, to hear which medication and what dosages you have been using and to provide you with advice on how to handle it. Depending on the nurse’s evaluation, you might need to come to the hospital to be seen by one of the physicians for a check including your vital signs and a blood test.",Neutral,Agree
9,"This is likely a side-effect of the chemotherapy, which happens quite often. We should draw some blood to check your white blood count. These white blood cells are involved in preventing infections. If the cell count goes down due to the chemotherapy, you are more vulnerable to severe infections. This would require treatment with antibiotics and or other measures. 
It can also be caused by a rapid response of the tumor to the chemotherapy. To distinguish between these causes, we will need to plan a visit to the clinic, measure your temperature and other vital signs and do the blood test. I will have the nurse call you today to arrange this so you can come in later today..",Trivial,Agree
11,"Fatigue and general weakness are common symptoms in cancer, but these can also be aggravated by anti-cancer treatments, like the chemotherapy that you are receiving at the moment. There is no need to be concerned about this. 
Especially fatigue is a very well-known symptom in this regard. How much are you affected by these? Is it forcing you to refrain from normal activities? The best thing to do is try and stay active, but if you really feel tired you may want to take some rest.
Is your weakness a general sense of loss of strength? Or is this restricted to e.g. 1 arm or 1 leg? If the latter is the case, you should contact my nurse or another health care provider immediately. 
I can see that you will come for the next scheduled appointment in 2 weeks. At that time I will make sure to check on these complaints again and we will do some blood tests to further look into this. However, if your complaints progress and get worse, do not hesitate to contact me again.",Trivial,Disagree
17,"The type of medication that you are currently receiving (durvalumab) may cause symptoms like shortness of breath and cough. It could also be related to your lung cancer. In order to find out what the explanation is in your situation, I would like you to come to my clinic tomorrow at 11 am. I will then examine you, have an X-ray performed and possibly also ask for a new pulmonary function test. I will ask the nurse to call you later today to confirm the appointment by telephone. See you tomorrow.",Challenging,Agree
22,"Without a physical examination it is very difficult to tell what the cause is of the lump that you have described. My advice would be to come to the next clinic appointment (which is scheduled in 2 weeks as I can see in your record) and do the assessment. If you feel the lump starts to grow in size, you can contact me again. In that case we will schedule an earlier appointment.",Trivial,Neither agree or disagree
32,"I can see in the health record that you are currently on 20 mg of omeprazole. If that is correct, you can indeed change the dose to 40 mg. It can take up to 2-3 weeks to appreciate an improvement in symptoms. By that time we will see each other again in the clinic, as I can see an appointment scheduled in 2 weeks from today.",Trivial,Disagree
33,"One of the side-effects of your treatment with immunotherapy can be joint pain. It usually presents in several joints at the same time, like you are describing. It is an arthritis-like condition, which can respond to medication. If you haven’t used any medication yet , I would recommend starting with ibuprofen 3x400 mg, which you can buy over-the-counter. In many patients this will result in an improvement in pain. There is no need to plan an early clinic appointment unless your pain is no longer manageable, or unless you start to experience much difficulties with moving during the day. In those situations, please contact us again to schedule an earlier appointment.",Neutral,Disagree
35,"This must have been frightening for you. How severe was the seizure? How long did it last? Which parts of the body were affected? Did you (almost) lose consciousness? Was there anyone with you to observe it while it happened? Have you had this before in the recent past (except for the very first episode at diagnosis)? In the health record, I can not see which dose of levetiracetam you are currently taking. We might need to increase it. I will ask my resident to give you a call later today to clarify the questions above. After this we will decide whether you need to be seen in the outpatient clinic and whether we should plan further investigations like imaging (MRI-scan).",Challenging,Agree
36,"Have you started using any pain medication yet? If not, I would advise to start on Tylenol at a dose of 3 times 500 mg tablets per day for example. Furthermore, please try to prevent intense activities with that arm for now. I will ask my secretary to plan an additional appointment at my clinic within the next 4-5 days for an evaluation. At that time, I will probably also ask for an X-ray of your arm.",Trivial,Disagree
38,"I would need to have some more information to be able to inform you what is causing this. How long has this been ongoing? How severe are the complaints? Are you still able to walk or climb stairs? Do you experience shortness of breath while at rest? Is there also coughing? Is there any mucus production? If yes, is there blood in the mucus? Where is your chest pain located? Is it associated with your breathing? Are you able to sleep? Do you also have a fever? I will ask my resident to give you a call to go over these questions and afterwards we will plan an appointment in the outpatient clinic within the next few days. Based on those days’ findings, we can then decide to do some additional tests",Challenging,Neither agree or disagree
41,"It is difficult to assess the reason for the constipation without further information and without actually seeing you in the clinic. So here are a few additional questions: Do you have any other medications beyond the amlodipine, atorvastatin, aspirin? Which medications have you been using along with the chemotherapy? Do you take anything to reduce nausea caused by the chemotherapy? When was your last bowel movement? How was the aspect of your stools during your last bowel movement? Does it appear normal in color? Did you see blood? Was it very solid and hard? And difficult to release? Do you have any abdominal pain or discomfort at the moment? I will ask my resident to go over these questions with you by phone. After that, we will decide when it would be best to see you in the clinic.",Challenging,Neither agree or disagree
44,"While you are on active treatment with chemotherapy and targeted therapy, diarrhea with blood can sometimes develop as a side-effect of this treatment. It is something that we will need to look into carefully. How often do you have diarrhea? What color is the mixed-in blood? Is it bright red or more brownish/black? Is there any nausea? Do you have any fevers? How do you feel otherwise? Are you tired? Do you need to rest during the day? I will ask my nurse to call you and go over these questions by phone. And she will also inform you about when to come to the clinic for a visit. We will perform a physical examination, including your vital signs and perform some lab testing. For now, the most important thing would be to stay hydrated and drink lots of fluids.",Challenging,Agree
48,"That must have scared you, I presume. I have some further questions to better understand what is going on: Do you know what was the source of the bleeding? Was it from your vagina? Or did it come while urinating? Or while having a bowel movement? How weak are you? Can you still walk around at home? Or do you need to lie down during the day? Given your information I would like to see you later today. I will have you called by the nurse to inform you about the exact time and she will also go over these questions with you together. When you come to the office, I will try to locate the source of the bleeding by physical examination and do some further tests, including vitals and a blood test to check the level of your blood cells and other parameters.",Challenging,Neither agree or disagree
51,"In the EHR I can see you will have a next appointment in 1 month from now. However, I believe it would be wise to come to my clinic early, somewhere in the next 2-3 days to see what is going on. To find out, I have some more questions for you: When did it start? Does this feel like an exacerbation of the COPD to you? Have you already tried to increase the inhalers that you are taking? Is there a cough present? Do you produce any mucus? Do you feel ill? Do you have any fever? How bad is the shortness of breath? Are you still mobile? How is your appetite? Did you notice any weight change over the past weeks? I will ask the nurse to call you and go over these questions together with you. And he will also provide you with the details for the upcoming appointment. I will see you then, do some tests and will also request an X-ray of your chest and lungs.",Neutral,Neither agree or disagree
61,"These symptoms often occur after surgical treatment for gastric cancer. It can be caused by the anatomic alterations after removal of the stomach with changes in the digestive functions. From the medication list that I can see here in the hospital, I can tell that you do not use any medication to reduce the production of acid. Is that correct? If so, you can try omeprazole medication 20 mg once daily. It may take up to 2 weeks to provide relief of symptoms. If your complaints haven’t improved by then, please contact me again.",Neutral,Disagree
67,"It is hard to tell whether you should be concerned for cancer recurrence for now. But it is something we indeed would like to rule out. I will give you a call tomorrow morning to get some more information from you about when it started, how often it has happened and how severe it is. Then we can decide to plan a new cystoscopy procedure, at which we will have the possibility to look on the inside of the bladder and assess the inner bladder wall. If we are able to track the source of the bleeding, a biopsy may be taken from that area to further investigate.",Trivial,Neither agree or disagree
70,"To get some more insight into your complaint, I would like to ask a few additional questions: Was this the very first time that you had blood in your stool? Was it IN or ON your stool? What was the color of the blood? Was it bright red in color? Or more brownish? Did you notice any other changes with respect to your bowel movement pattern, e.g. in terms of frequency? I will plan a consultation by phone for this Friday at 11 am and we will go over these questions then together. Afterwards, I will be able to make further recommendations on what to do. Talk to you on Friday!",Trivial,Disagree
75,It is difficult for me to tell what the cause of this might be without more information. It can be related to pancreatic cancer but there are also many other causes. Can you tell me a little bit more about your weight loss? How much weight did you lose in how much time? Have you been on a diet lately? Have you altered your eating habits in the recent past? How is your appetite in general? Has it changed recently? I will ask the secretary's office to plan a telephone consultation with you for tomorrow regarding these questions and you can answer them by phone. After that I will have a better understanding and I will provide you with some proper advice on potential next steps.,Trivial,Neither agree or disagree
81,"It is difficult to judge what the redness and swelling are caused by, just from reading this email and text, without seeing it myself. However, the skin and the tissues of the arm on the affected side can be more vulnerable to this after the surgery and radiation. Which part of the arm is affected? Is it the upper arm or the lower arm? It might resolve by itself over the course of 1-2 weeks. In order to follow this up, I will schedule a consultation by telephone in 2 weeks time. I will have the appointment mailed to you.",Trivial,Disagree
83,"There can be several different causes for your complaints, including many not-cancer related reasons that might cause fatigue and fever, e.g. flu or other infections. Do you have any other symptoms, e.g. coughing, sore throat, muscle aches, or digestive complaints like diarrhea? These might point towards infectious causes. My advice would be to go and see your primary healthcare provider (PCP) first, especially if the complaints persist longer than 1 week or if things get worse. If the PCP thinks you should be seen here in the clinic, we can arrange a consultation on short notice for further evaluation.",Neutral,Disagree
88,A new skin lesion that is changing in appearance is a good reason to be seen in a clinic indeed. I will ask my secretary to send you a new appointment for a consultation within 1 week from now.,Trivial,Neither agree or disagree
91,"Fatigue is a very common side-effect during treatment with chemotherapy. The rash you are describing also fits with one of the side-effects of your chemotherapy. There is no need to wrry. For the rash I usually provide the advice to keep the hands and feet clean and dry, avoid harsh soap and too hot water, the use of a mild skin moisturizer might also help. For your feet, wear shoes that fit well without causing friction. Avoid trauma, e.g. by using gloves for your hands while doing manual labor as small wounds might get infected. Regarding fatigue, it is important to rest at times when really tired to conserve energy and at the same time stay physically active, performing light exercises. From the health record I can see that your next appointment is in 2 weeks from now. At that time, I will evaluate your symptoms again. If the rash gets worse, you can contact me again before that time.",Neutral,Neither agree or disagree
92,"Joint pains can be caused by the pembrolizumab immunotherapy that you are currently treated with. It is a side-effect that can cause problems while moving, but in most patients these can be treated with painkillers. I would recommend starting with nonsteroidal anti-inflammatory drugs (NSAIDs), e.g. ibuprofen, 3x daily 400 mg. This will reduce the pain within 1-2 days in most patients. If that is also the case in your situation, there is no need to stop the immunotherapy. I will plan a consultation by telephone with you for early next week. At that time I will be able to evaluate the reduction in your symptoms and decide on the next steps.",Neutral,Disagree
13,"Hello,

I am sorry to hear that you have been having discomfort. Mouth sores are a common side effect of the treatment that you are receiving and there are ways that we can help manage this with medications or topical treatments and we can provide you with information on this.",Neutral,Disagree
14,"Hello,

Sorry to hear that you are having hot flashes and night sweats. Yes this is a very common side effect of androgen deprivation therapy. There are medications that can be useful to help manage this if it is very bothersome. Otherwise, it is an expected effect of this treatment.",Trivial,Disagree
15,"Hello,

Thank you for reaching out. It is possible that this is an effect of the treatment that you are receiving but I would like to see you for a physical examination soon so that we can evaluate this and determine why this is occurring and how we can best manage it.",Neutral,Disagree
16,"Hello,

I am sorry to hear about your symptoms. It is possible that this is an effect of the treatment but I would like to see you in person to discuss this and determine if we need to get any additional tests.",Neutral,Neither agree or disagree
18,"Hello,

I am sorry to hear that you have been having abdominal pain and swelling. It is possible that this could be an effect of the treatment but I would like to see you in person to discuss this and determine if we need to get any tests such as bloodwork or imaging which can help us understand why are experiencing this.",Neutral,Neither agree or disagree
19,"Hello,

It’s possible that this is a side effect of treatment although I would like you to get some additional tests and come in to be seen so that we can better understand what is causing this and address it.",Neutral,Neither agree or disagree
24,"Hello,

These are unfortunately common side effects of the treatment that you are receiving. However, I would like to see you and examine you to see if we need any additional tests.",Neutral,Disagree
26,"Hello,

I am concerned about your symptoms and I would like to get some additional tests including an MRI of your brain and see you today in the office.",Neutral,Agree
27,"Hello,

I am concerned about your shortness of breath and swelling. I think that it would be best for you to be seen immediately. Please proceed to the emergency room.",Neutral,Agree
30,"Hello,

I am concerned about your symptoms and i think you should be seen today to evaluate your breathing and get a scan of your chest.",Neutral,Agree
34,"Hello,

It may be related to the tamoxifen but we should get some additional tests as soon as possible because of these symptoms and also discuss this with your cardiologist if you have one.",Neutral,Neither agree or disagree
46,"Hello,

This is not a common side effect of your treatment. There are multiple potential causes for the type of pain that you are describing so I would like to see you in the office and see if we need to order additional tests such as imaging to evaluate this.",Neutral,Neither agree or disagree
52,"Hello,

I would like to see you in the office for an exam so that we can evaluate this. There are other potential reasons aside from a cancer recurrence that could be causing this.",Neutral,Disagree
56,"Hello,

Yes, I think it would be best for you to go to the emergency room today to have this evaluated.",Neutral,Agree
57,"Hello,

I think that because of these symptoms we should get some additional tests and have you come into the office soon for an appointment.",Neutral,Neither agree or disagree
62,"Hello,

It is possible that this is a side effect of your treatment but I think it would be best for us to get some additional tests and have you come into the office for an appointment.",Neutral,Neither agree or disagree
63,"Hello,

There are multiple potential causes for back pain which could be related to cancer or the treatment you have been receiving but more commonly are unrelated. I would like you to come in for a visit so we can assess this and determine if further tests such as imaging would be helpful.",Neutral,Neither agree or disagree
66,This is a common side effect following the treatment that you have received but I would like you to come in for an examination so that we can evaluate this.,Trivial,Disagree
71,"Hello,

I would like you to come in so that we can evaluate the scar and determine if further testing such as a biopsy is needed.",Neutral,Neither agree or disagree
76,"Yes, I think you should come in today to be evaluated, it is possible that you have an infection and further testing may be needed.",Neutral,Agree
77,I would like for you to come in to be evaluated. We may want to do tests including a PSA and imaging to determine if this is cancer related or not.,Neutral,Neither agree or disagree
85,"Yes, please schedule an appointment so that we can discuss this. We will also have you do a urine test to see if you have a urinary tract infection.",Neutral,Disagree
86,"Yes, please schedule an appointment so that we can discuss this and we will order scans to help determine the cause of this.",Neutral,Neither agree or disagree
87,"Yes, please schedule an appointment so that we can discuss this and we will order a urine test to determine if you have a urinary tract infection.",Neutral,Disagree
93,"Yes, please schedule an appointment soon so that we can discuss this and we may need additional tests such as bloodwork and a colonoscopy to evaluate this.",Neutral,Agree
98,"Yes, if the pain is not improving and not responding to ibuprofen, please come in to be seen today so that we can help you manage this. In the meantime, you can take tylenol in addition to the ibuprofen.",Neutral,Agree
0,"yes, this is an expected side effect",Trivial,Disagree
4,"Yes, this is concerning and I need you to come in to clinic today so we can run some tests and possibly do a CT scan",Trivial,Agree
12,This can be related to the treatment you are receiving And we may need to adjust some of the medications that you're taking to mitigate these side effects.,Trivial,Disagree
20,"Thanks for reaching out, before you go to the emergency room, why don't you come in and we can do an exam in the office and determine what to do next.",Neutral,Neither agree or disagree
21,It's possible that you may be dehydrated from the chemotherapy that you're receiving. I will need you to come in so that we can check your blood work and make sure that your blood numbers are not too low.,Trivial,Neither agree or disagree
28,"You are most likely dehydrated, and will need to come in for fluids and some basic blood work",Trivial,Neither agree or disagree
